gene_callers_id	chrom_start	chrom_end	COG_accession	COG_function	KO_accession	KEGG_function
3397	3972028	3973477	COG0531	Serine transporter YbeC, amino acid:H+ symporter family (PotE) (PDB:3LRB)		
3398	3973570	3975061	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	K09472	4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]
3399	3975291	3976455	COG0624	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (ArgE) (PDB:1CG2)	K01438	acetylornithine deacetylase [EC:3.5.1.16]
3400	3976447	3977125	COG3342	Uncharacterized conserved protein, Ntn-hydrolase superfamily (PDB:2IMH)		
3401	3977195	3977606	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family (RidA) (PDB:1J7H) (PUBMED:22094463;32205462)	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
3402	3977605	3978922	COG2072	Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD (CzcO) (PDB:4USQ)	K07222	putative flavoprotein involved in K+ transport
3403	3979160	3981056	COG0318	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)	K00666	fatty-acyl-CoA synthase [EC:6.2.1.-]
3404	3981159	3982179	COG2207	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)		
3405	3982356	3983313	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
3406	3983439	3985191				
3407	3985225	3986587	COG5010	Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)		
3408	3986697	3988002	COG0477	MFS family permease, includes anhydromuropeptide permease AmpG (ProP) (PUBMED:12426329)	K03762	MFS transporter, MHS family, proline/betaine transporter
3409	3988046	3989225	COG1473	Metal-dependent amidase/aminoacylase/carboxypeptidase (AbgB) (PDB:3RAM) (PUBMED:17307853)	K01451	hippurate hydrolase [EC:3.5.1.32]
3410	3989313	3990753	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase (GatA) (PDB:3H0L)	K01426	amidase [EC:3.5.1.4]
3411	3990782	3992711	COG0784!!!COG2202!!!COG4191	CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!PAS domain (PAS) (PDB:2MWG)!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)	K13587	two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]
3412	3992953	3994051	COG0019	Diaminopimelate decarboxylase (LysA) (PDB:1D7K)	K13747	carboxynorspermidine decarboxylase [EC:4.1.1.96]
3413	3994126	3995326	COG1748	Saccharopine dehydrogenase, NADP-dependent (Lys9) (PDB:1E5L)	K00290	saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]
3414	3995526	3997266	COG0624	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (ArgE) (PDB:1CG2)		
3415	3997321	3998287	COG3239	Fatty acid desaturase (DesA)		
3416	3998273	3998897				
3417	3998948	4000040				
3418	4000036	4000771				
3419	4000767	4001790				
3420	4001843	4002896	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase (BcsA) (PDB:4HG6)		
3421	4003137	4004142	COG2055	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family (AllD) (PDB:1NXU)	K16844	(2R)-3-sulfolactate dehydrogenase (NADP+) [EC:1.1.1.338]
3422	4004200	4005052	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)	K02030	polar amino acid transport system substrate-binding protein
3423	4005112	4005775	COG0765	ABC-type amino acid transport system, permease component (HisM) (PDB:4YMS)	K02029	polar amino acid transport system permease protein
3424	4005771	4006413	COG0765	ABC-type amino acid transport system, permease component (HisM) (PDB:4YMS)	K02029	polar amino acid transport system permease protein
3425	4006412	4007222	COG1126	ABC-type polar amino acid transport system, ATPase component (GlnQ) (PDB:4YMS)	K02028	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
3426	4007279	4008587	COG0006	Xaa-Pro aminopeptidase (PepP) (PDB:1A16)	K01271	Xaa-Pro dipeptidase [EC:3.4.13.9]
3427	4008720	4010757	COG0492!!!COG1902	Thioredoxin reductase (TrxB) (PDB:3FBS)!!!2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family (FadH) (PDB:1BWK)	K22551	N-methyl-L-proline demethylase [EC:1.5.3.-]
3428	4010883	4011525	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)		
3429	4011872	4012682	COG3618	Predicted metal-dependent hydrolase, TIM-barrel fold	K10221, K18982	2-pyrone-4,6-dicarboxylate lactonase [EC:3.1.1.57], D-galactarolactone isomerase [EC:5.4.1.4]
3430	4012729	4013959	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)		
3431	4014057	4015668	COG2186!!!COG3618	DNA-binding transcriptional regulator, FadR family (FadR) (PDB:1E2X)!!!Predicted metal-dependent hydrolase, TIM-barrel fold	K05799, K10221, K18982	GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex, 2-pyrone-4,6-dicarboxylate lactonase [EC:3.1.1.57], D-galactarolactone isomerase [EC:5.4.1.4]
3432	4015771	4018840	COG0247!!!COG0277	Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF (GlpC)!!!FAD/FMN-containing lactate dehydrogenase/glycolate oxidase (GlcD) (PDB:1AHU)	K26063	(R)-2-hydroxyglutarate dehydrogenase [EC:1.1.-.-]
3433	4019000	4019906	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator
3434	4020256	4020817	COG0558	Phosphatidylglycerophosphate synthase (PgsA) (PDB:4MND)	K08744, K00995	cardiolipin synthase (CMP-forming) [EC:2.7.8.41], CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]
3435	4020849	4022673	COG0322	Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)	K03703	excinuclease ABC subunit C
3436	4022674	4023316	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)	K07689	two-component system, NarL family, invasion response regulator UvrY
3437	4023463	4023826	COG1396	Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)		
3438	4023908	4024139				
3439	4024161	4024623	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE)		
3440	4024622	4025378	COG0388	Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)		
3441	4025536	4025671				
3442	4025818	4025971				
3443	4026017	4027109	COG0722	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase (AroG1) (PDB:6U8J)	K01626	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
3444	4027323	4027605	COG0760	Peptidyl-prolyl isomerase, parvulin family (SurA) (PDB:2ZR5)		
3445	4027757	4029620	COG4166	ABC-type oligopeptide transport system, periplasmic component (OppA) (PDB:1B05)	K13893	microcin C transport system substrate-binding protein
3446	4029619	4030684	COG4174	ABC-type microcin C transport system, permease component YejB (YejB) (PUBMED:17873039)	K13894, K02033	microcin C transport system permease protein, peptide/nickel transport system permease protein
3447	4030683	4031706	COG4239	ABC-type microcin C transport system, permease component YejE (YejE)	K13895	microcin C transport system permease protein
3448	4031720	4033295	COG4172	ABC-type microcin C transport system, duplicated ATPase component YejF (YejF) (PUBMED:17873039)	K13896, K02031	microcin C transport system ATP-binding protein, peptide/nickel transport system ATP-binding protein
3449	4033586	4035005	COG3829	RocR-type transcriptional regulator, contains PAS, AAA-type ATPase, and DNA-binding Fis domains (RocR)		
3450	4035289	4036681	COG2610	H+/gluconate symporter GntT or related permease, GntP/DsdX family (GntT)		
3451	4036688	4037462	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
3452	4037588	4039544	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase (Acs) (PDB:4B2O) (PUBMED:14638756)	K01907	acetoacetyl-CoA synthetase [EC:6.2.1.16]
3453	4039843	4042384	COG0784!!!COG2202!!!COG4191	CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!PAS domain (PAS) (PDB:2MWG)!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)	K13587	two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]
3454	4042435	4042711	COG0760	Peptidyl-prolyl isomerase, parvulin family (SurA) (PDB:2ZR5)		
3455	4042770	4043679	COG0524	Sugar or nucleoside kinase, ribokinase family (RbsK) (PDB:2QCV)	K00874	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
3456	4043823	4045041	COG3616	D-serine deaminase, pyridoxal phosphate-dependent (Dsd1) (PDB:3ANU)	K01753	D-serine dehydratase [EC:4.3.1.18]
3457	4045088	4045853	COG1414	DNA-binding transcriptional regulator, IclR family (IclR) (PDB:1MKM)		
3458	4045983	4046373	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family (RidA) (PDB:1J7H) (PUBMED:22094463;32205462)	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
3459	4046510	4046726				
3460	4046629	4048063	COG1690	RNA-splicing ligase RtcB, repairs tRNA damage (RtcB) (PDB:1UC2)	K14415	tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]
3461	4049875	4050448	COG4977	Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain (GlxA)		
3462	4050563	4051031				
3463	4051182	4051578				
3464	4051710	4052973	COG0665	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	K21060	D-hydroxyproline dehydrogenase [EC:1.5.99.-]
3465	4052983	4054072	COG0687	Spermidine/putrescine-binding periplasmic protein (PotD) (PDB:1POT)	K11073	putrescine transport system substrate-binding protein
3466	4054123	4055425	COG0665	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)		
3467	4055561	4056536	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator
3468	4057110	4058262	COG0381	UDP-N-acetylglucosamine 2-epimerase (WecB) (PDB:1F6D) (PUBMED:26641313;30389844)	K01791	UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
3469	4058503	4059604	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)		
3470	4059635	4061198	COG1253	Hemolysin-related protein, contains CBS domains, UPF0053 family (TlyC) (PDB:2NQW)		
3471	4061554	4061932	COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)		
3472	4062007	4062976	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K21757	LysR family transcriptional regulator, benzoate and cis,cis-muconate-responsive activator of ben and cat genes
3473	4062993	4063491	COG3193	Heme-binding protein HbpS, GlcG/HbpS family (GlcG) (PDB:2A2L) (PUBMED:19244623;25342754)	K11477	glc operon protein GlcG
3474	4063487	4065029	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)		
3475	4065181	4066246	COG0665	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)		
3476	4066364	4068110	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme (IlvB) (PDB:1BFD)	K00156	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
3477	4068174	4068336				
3478	4068365	4068554				
3479	4068635	4070249	COG0665	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	K14266	tryptophan 7-halogenase [EC:1.14.19.9]
3480	4070248	4071334	COG0520	Selenocysteine lyase/Cysteine desulfurase (CsdA) (PDB:4LW2)	K19981	monodechloroaminopyrrolnitrin synthase
3481	4071376	4073080	COG0644	Dehydrogenase (flavoprotein) (FixC) (PDB:4OPU)	K14257	tetracycline 7-halogenase / FADH2 O2-dependent halogenase [EC:1.14.19.49 1.14.19.-]
3482	4073104	4074196	COG4638	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit (HcaE) (PDB:4QDC)	K19982	aminopyrrolnitrin oxygenase [EC:1.14.13.-]
3483	4074195	4074351				
3484	4074350	4075586	COG0475	Kef-type K+ transport system, membrane component KefB (KefB) (PDB:4BWZ)		
3485	4075610	4076171	COG1853	FMN reductase RutF, DIM6/NTAB family (RutF) (PDB:1EJE)		
3486	4076224	4076317				
3487	4076606	4077125	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)	K03088	RNA polymerase sigma-70 factor, ECF subfamily
3488	4077117	4078116	COG3712	Periplasmic ferric-dicitrate binding protein FecR, regulates iron transport (FecR) (PDB:5CAM)	K07165	transmembrane sensor
3489	4078235	4081031	COG4771	Outer membrane receptor for ferrienterochelin and colicins (FepA) (PDB:2HDF) (PUBMED:16468998)		
3490	4081032	4082133	COG1858	Cytochrome c peroxidase (MauG) (PDB:1EB7)	K00428	cytochrome c peroxidase [EC:1.11.1.5]
3491	4082129	4082291				
3492	4082385	4082835	COG1762	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type) (PtsN) (PDB:2OQ3)	K02806	nitrogen PTS system EIIA component [EC:2.7.1.-]
3493	4083081	4084830	COG1538	Outer membrane protein TolC (TolC) (PDB:1EK9)		
3494	4084842	4086039	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)	K03585	membrane fusion protein, multidrug efflux system
3495	4086047	4089125	COG0841	Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)	K18138	multidrug efflux pump
3496	4089153	4089582	COG3585	Molybdopterin-binding protein MopI (MopI) (PDB:1B9M)	K02019	molybdate transport system regulatory protein
3497	4089701	4091012	COG2141	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase) (SsuD) (PDB:1BRL)		
3498	4091088	4093179	COG4771	Outer membrane receptor for ferrienterochelin and colicins (FepA) (PDB:2HDF) (PUBMED:16468998)	K02014	iron complex outermembrane recepter protein
3499	4093419	4094238	COG1414	DNA-binding transcriptional regulator, IclR family (IclR) (PDB:1MKM)		
3500	4094247	4095039	COG1120	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component (FepC) (PDB:2NQ2)	K23188, K02013	iron-siderophore transport system ATP-binding protein [EC:7.2.2.17 7.2.2.-], iron complex transport system ATP-binding protein [EC:7.2.2.-]
3501	4095188	4096091	COG4592	ABC-type Fe2+-enterobactin transport system, periplasmic component (FepB) (PDB:2M6K)	K23185	ferric enterobactin transport system substrate-binding protein
3502	4096094	4097135	COG0609	ABC-type Fe3+-siderophore transport system, permease component (FepD) (PDB:2NQ2)	K23186	iron-siderophore transport system permease protein
3503	4097131	4098163	COG4779	ABC-type enterobactin transport system, permease component (FepG)	K23187	iron-siderophore transport system permease protein
3504	4098242	4098797				
3505	4099299	4100022	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)		
3506	4100056	4101676	COG1680	CubicO group peptidase, beta-lactamase class C family (AmpC) (PDB:1BLS)	K01286	D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]
3507	4101797	4102691				
3508	4102699	4103242	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)		
3509	4103234	4103783	COG0262	Dihydrofolate reductase (FolA) (PDB:1DDR)		
3510	4103871	4104777	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
3511	4104869	4105832	COG0451	Nucleoside-diphosphate-sugar epimerase (WcaG) (PDB:2X4G)		
3512	4105813	4108936	COG3468	Autotransporter adhesin AidA (AidA)		
3513	4109080	4111918	COG0642!!!COG0784	Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)	K07677	two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC [EC:2.7.13.3]
3514	4111920	4113195	COG0784!!!COG2200	CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)		
3515	4113146	4116353	COG0642!!!COG0784!!!COG2198	Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!HPt (histidine-containing phosphotransfer) domain (HPtr) (PDB:3IQT)	K07677	two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC [EC:2.7.13.3]
3516	4116410	4117064	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)	K07687	two-component system, NarL family, captular synthesis response regulator RcsB
3517	4117236	4117734	COG1522	DNA-binding transcriptional regulator, Lrp family (Lrp) (PDB:1I1G)	K03719	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
3518	4117843	4118887	COG0123	Acetoin utilization deacetylase AcuC or a related deacetylase (AcuC) (PDB:1C3P)		
3519	4118945	4120007	COG2423	Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family (OCDMu) (PDB:2I99)	K01750	ornithine cyclodeaminase [EC:4.3.1.12]
3520	4120167	4121580	COG1113	L-asparagine transporter or related permease (AnsP)	K11737	D-serine/D-alanine/glycine transporter
3521	4122862	4124038	COG0183	Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW)		
3522	4124147	4124660				
3523	4124741	4125716	COG1878	Kynurenine formamidase (PDB:1R61)		
3524	4125908	4126667	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
3525	4126715	4128164	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)		
3526	4128168	4129281	COG0473	Isocitrate/isopropylmalate dehydrogenase (LeuB) (PDB:1GC9)	K07246	tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83]
3527	4129442	4130345	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K17737	LysR family transcriptional regulator, carnitine catabolism transcriptional activator
3528	4130429	4132076	COG1502	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase (Cls) (PDB:1BYR)		
3529	4132258	4132768	COG1240	vWFA (von Willebrand factor type A) domain of Mg and Co chelatases (ChlD)	K13580	magnesium chelatase subunit ChlD-like protein
3530	4132908	4133916	COG1239	Mg-chelatase subunit ChlI (ChlI) (PDB:1G8P)	K03405	magnesium chelatase subunit I [EC:6.6.1.1]
3531	4134044	4137818	COG1429	Cobalamin biosynthesis protein CobN, Mg-chelatase (CobN) (PDB:4ZHJ)	K02230	cobaltochelatase CobN [EC:6.6.1.2]
